"export-plot data (NetLogo 5.3)"
"gridlock 0.6.0.nlogo"
"05/16/2016 22:00:07:224 +0200"

"MODEL SETTINGS"
"hide-links","number","government-action","grid-size-y","max-global-wait-time","grid-size-x","government-action-amount"
"true","400","""nothing""","3","5","3","0"

"""Megaplot"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","32000","0","161","true","""num-cars-stopped""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""num-cars-stopped""","true","0","1","45","30000"
"""mean-speed-drivers""","true","0","1","65","29998"
"""mean-waittime-drivers""","true","0","1","15","29998"

"""num-cars-stopped""",,,,"""mean-speed-drivers""",,,,"""mean-waittime-drivers"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","45","true","0","0.2011935483870969","65","true","0","0.4838709677419355","15","true"
"1","0","45","true","1","0.31316326530612276","65","true","1","0.5714285714285714","15","true"
"2","15","45","true","2","0.4081338028169013","65","true","2","0.5774647887323944","15","true"
"3","26","45","true","3","0.49298726114649644","65","true","3","0.4267515923566879","15","true"
"4","37","45","true","4","0.582089820359281","65","true","4","0.3592814371257485","15","true"
"5","25","45","true","5","0.6036292134831461","65","true","5","0.19662921348314608","15","true"
"6","20","45","true","6","0.6271629213483143","65","true","6","0.12921348314606743","15","true"
"7","12","45","true","7","0.6544213483146064","65","true","7","0.03932584269662921","15","true"
"8","6","45","true","8","0.6599943820224716","65","true","8","0","15","true"
"9","1","45","true","9","0.667561797752809","65","true","9","0","15","true"
"10","0","45","true","10","0.6696853932584275","65","true","10","0","15","true"
"11","0","45","true","11","0.6640786516853932","65","true","11","0","15","true"
"12","0","45","true","12","0.6677022471910113","65","true","12","0","15","true"
"13","0","45","true","13","0.6698202247191013","65","true","13","0","15","true"
"14","0","45","true","14","0.6724438202247193","65","true","14","0","15","true"
"15","0","45","true","15","0.6724494382022478","65","true","15","0","15","true"
"16","0","45","true","16","0.6543202247191013","65","true","16","0","15","true"
"17","0","45","true","17","0.6468146067415739","65","true","17","0","15","true"
"18","0","45","true","18","0.607162921348315","65","true","18","0","15","true"
"19","0","45","true","19","0.5944831460674164","65","true","19","0","15","true"
"20","0","45","true","20","0.5957584269662923","65","true","20","0","15","true"
"21","0","45","true","21","0.5895842696629217","65","true","21","0","15","true"
"22","0","45","true","22","0.5918651685393265","65","true","22","0","15","true"
"23","0","45","true","23","0.5790168539325846","65","true","23","0","15","true"
"24","0","45","true","24","0.5759044943820227","65","true","24","0","15","true"
"25","0","45","true","25","0.5809101123595508","65","true","25","0.016853932584269662","15","true"
"26","0","45","true","26","0.5770168539325847","65","true","26","0.0449438202247191","15","true"
"27","3","45","true","27","0.5804662921348318","65","true","27","0.07865168539325842","15","true"
"28","5","45","true","28","0.5526573033707871","65","true","28","0.07303370786516854","15","true"
"29","6","45","true","29","0.5401404494382027","65","true","29","0.08426966292134831","15","true"
"30","5","45","true","30","0.5352471910112365","65","true","30","0.1348314606741573","15","true"
"31","5","45","true","31","0.50788202247191","65","true","31","0.20224719101123595","15","true"
"32","9","45","true","32","0.49052808988764074","65","true","32","0.2247191011235955","15","true"
"33","12","45","true","33","0.49658988764044953","65","true","33","0.3146067415730337","15","true"
"34","10","45","true","34","0.4987584269662923","65","true","34","0.38202247191011235","15","true"
"35","16","45","true","35","0.4769096045197745","65","true","35","0.4180790960451977","15","true"
"36","19","45","true","36","0.48501694915254284","65","true","36","0.4519774011299435","15","true"
"37","17","45","true","37","0.4640172413793106","65","true","37","0.5287356321839081","15","true"
"38","21","45","true","38","0.44906818181818225","65","true","38","0.5795454545454546","15","true"
"39","21","45","true","39","0.45140571428571424","65","true","39","0.7085714285714285","15","true"
"40","22","45","true","40","0.4208554913294799","65","true","40","0.861271676300578","15","true"
"41","24","45","true","41","0.42456140350877214","65","true","41","1.023391812865497","15","true"
"42","29","45","true","42","0.3892865168539327","65","true","42","1.050561797752809","15","true"
"43","30","45","true","43","0.3952272727272728","65","true","43","1.0113636363636365","15","true"
"44","31","45","true","44","0.41823333333333346","65","true","44","1.0055555555555555","15","true"
